Rating de Codeforces,Ranking IOI 2024
3529.0,100.0
2876.0,99.72
2503.0,99.43
2276.0,99.15
2448.0,99.15
2232.0,98.87
2431.0,98.58
2748.0,98.3
3004.0,98.02
2401.0,97.73
2609.0,97.45
2529.0,97.17
2652.0,96.88
2912.0,96.6
2373.0,96.32
2909.0,96.03
2204.0,95.75
2670.0,95.47
2417.0,95.47
2613.0,95.47
2029.0,95.18
2632.0,94.9
2911.0,94.62
2736.0,94.33
2372.0,94.05
2438.0,93.77
2508.0,93.48
2378.0,93.2
2494.7627952776456,92.92
2582.0,92.63
2777.0,92.63
2487.212609308025,92.35
2469.0,92.07
2479.6624233384046,91.78
2200.0,91.5
2041.0,91.22
2464.0,90.93
1568.0,90.65
2412.0,90.37
2304.0,90.08
2430.0,90.08
2406.0,89.52
2446.0177349825526,89.24
2717.0,88.95
2301.0,88.67
2220.0,88.39
2557.0,88.1
2427.2084997599895,87.82
2391.0,87.54
2862.0,87.25
2309.0,86.97
2570.0,86.69
2495.0,86.4
2404.690401254104,86.12
2422.0,85.84
1928.0,85.55
2415.0,85.27
1982.0,85.27
2335.0,85.27
2268.0,84.7
2183.0,84.42
2380.0,84.14
2281.0,84.14
2259.0,83.57
2948.0,83.29
2482.0,83.0
2234.0,82.72
2550.0,82.44
2435.0,82.15
2487.0,81.87
2484.0,81.87
1780.0,81.59
2096.0,81.3
2337.136105736448,81.02
2106.0,80.74
2329.585919766828,80.45
2274.0,80.17
2351.0,79.89
2237.0,79.6
2241.0,79.32
2376.0,79.04
1912.0,78.75
2096.0,78.47
2299.0,78.19
2111.0,77.9
2292.0999087246773,77.62
2143.0,77.34
2305.0,77.05
2119.0,76.77
1814.0,76.49
2303.0,76.2
1869.0,75.92
2434.0,75.92
2262.0,75.35
2340.0,75.07
2254.613897682527,74.79
1964.0,74.5
2377.0,74.22
2440.0,73.94
2131.0,73.94
2188.0,73.37
2296.0,73.37
2130.0,72.8
2034.0,72.52
2109.0,72.24
2189.0,71.95
2384.0,71.67
2209.577700670756,71.39
2223.0,71.39
1842.0,70.82
1944.0,70.54
2119.0,70.25
2286.0,69.97
1837.0,69.69
1857.0,69.41
2096.0,69.12
2175.800552911928,68.84
1821.0,68.56
2232.0,68.27
2402.0,67.99
2160.832640375663,67.71
2156.9913176893647,67.42
1927.0,67.14
1895.0,66.86
2558.0,66.57
2113.0,66.57
1967.0,66.29
1882.0,66.01
2277.0,65.72
2223.0,65.44
2173.0,65.16
2028.0,64.87
2010.0,64.87
2190.0,64.59
2200.0,64.59
2222.0,64.02
2203.0,63.74
2321.0,63.46
1976.0,63.17
2096.987208141329,62.89
2152.0,62.61
1981.0,62.32
2169.0,62.04
2516.0,62.04
2552.0,61.47
1941.0,61.19
1637.0,60.91
2196.0,60.62
2263.0,60.34
2112.0,60.06
2055.6598744128805,59.77
2211.0,59.49
2223.0,59.21
1960.0,59.21
2114.0,58.92
1847.0,58.64
2114.0,58.36
2124.0,58.07
1935.0,57.79
2164.0,57.51
2171.0,57.22
2018.17386337073,56.94
2014.4650000874078,56.66
2010.6236774011097,56.37
2209.0,56.09
1942.0,55.81
1999.3646281481672,55.52
1911.0,55.24
2307.0,54.96
2095.0,54.67
1914.0,54.39
1980.6878523285798,54.11
2252.0,53.82
2158.0,53.54
1924.0,53.26
2143.0,52.97
1834.0,52.69
1866.0,52.41
1954.3284311363964,52.12
2267.0,51.84
2044.0,51.56
1946.910704569752,51.56
1994.0,50.99
2006.0,50.71
1805.0,50.42
1792.0,50.14
1924.0,49.86
1856.0,49.58
1966.0,49.29
1913.1335568109237,49.01
2117.0,48.73
2124.0,48.44
2103.0,48.16
2102.0,47.88
2090.0,47.88
2110.0,47.31
1886.906595021716,47.03
2106.0,46.74
2322.0,46.46
2013.0,46.18
1648.0,45.89
1757.0,45.61
1984.0,45.33
2073.0,45.04
1865.0,44.76
1853.1294472628879,44.48
1612.0,44.19
1951.0,43.91
1921.0,43.63
2150.0,43.34
2167.0,43.06
2317.0,42.78
1835.0,42.49
1650.0,42.21
2127.0,41.93
1815.5109768177617,41.64
2108.0,41.36
1891.0,41.08
1804.251927564819,40.79
1800.5430642814968,40.51
1796.8342009981743,40.23
1603.0,39.94
1785.0,39.94
2097.0,39.94
2168.0,39.09
1778.0249657756112,38.81
1778.0249657756112,38.81
1528.0,38.24
1766.7659165226687,37.96
1895.0,37.68
1759.2157305530482,37.39
1939.0,37.39
1925.0,36.83
2123.0,36.54
1816.0,36.26
1846.0,35.98
1970.0,35.69
1732.9887687638407,35.41
1729.2799054805182,35.13
1666.0,34.84
1780.0,34.56
1890.0,34.28
2150.0,33.99
1960.0,33.71
1190.0,33.43
1702.9204842883348,33.14
1821.0,33.14
1579.0,33.14
1691.661435035392,32.29
1789.0,32.01
2070.0,31.73
1680.4023857824495,31.44
1734.0,31.16
1824.0,30.88
1611.0,30.59
1874.0,30.31
1661.725609962862,30.03
2010.0,29.75
1688.0,29.46
1650.4665607099193,29.18
2193.0,28.9
1646.7576974265971,28.9
1387.0,28.33
1635.4986481736544,28.05
1631.6573254873565,27.76
1682.0,27.48
1624.2395989207116,27.2
1620.3982762344137,26.91
1646.0,26.63
1612.980549667769,26.35
1609.139226981471,26.06
1605.4303636981488,25.78
1668.0,25.5
1597.8801777285282,25.21
1594.0,24.93
1056.0,24.65
1590.4624511618836,24.65
1582.9122651922632,24.08
1010.0,23.8
1725.0,23.51
1571.6532159393205,23.23
1534.0,22.95
1564.1030299697002,22.66
1187.0,22.38
1647.0,22.1
1840.0,21.81
408.0,21.53
1883.0,21.25
1625.0,20.96
1665.0,20.68
399.0,20.4
1530.3258822108721,20.11
1526.61701892755,19.83
1429.0,19.55
1519.0668329579294,19.26
1515.3579696746071,18.98
1511.649106391285,18.7
1691.0,18.41
1652.0,18.13
1315.0,17.85
1496.548734452044,17.56
1492.8398711687219,17.28
1568.0,17.0
1485.2896851991013,16.71
1491.0,16.43
1481.580821915779,16.43
1437.0,15.86
1470.3217726628363,15.58
1307.0,15.3
1609.0,15.01
1459.0627234098936,14.73
1455.3538601265714,14.45
1295.0,14.16
1381.0,13.88
1414.0,13.6
1440.2534881873305,13.31
1436.5446249040083,13.03
1158.0,12.75
1428.994438934388,12.46
1173.0,12.18
1409.0,11.9
1630.0,11.61
1414.0265263981228,11.33
1470.0,11.05
1599.0,11.05
1378.0,10.48
1399.0586138618578,10.2
1039.0,9.92
1391.5084278922375,9.63
1387.7995646089153,9.35
920.0,9.07
1965.0,8.78
1266.0,8.5
1598.0,8.22
2118.0,7.93
1387.0,7.65
1493.0,7.37
1357.7312801334094,7.08
1354.0224168500872,6.8
1350.3135535667648,6.52
1407.0,6.52
1342.7633675971445,5.95
1279.0,5.67
1239.0,5.38
1331.5043183442017,5.1
1030.0,4.82
1323.9541323745814,4.53
1320.2452690912592,4.25
986.0,3.97
1312.6950831216386,3.68
1308.9862198383164,3.4
1029.0,3.12
734.0,3.12
984.0,3.12
572.0,2.27
1290.1769846157533,1.98
1286.4681213324309,1.7
1282.7592580491087,1.42
1278.9179353628106,1.13
1278.9179353628106,1.13
1278.9179353628106,1.13
